signal_id,time,type,strategy_id,strategy_name,stock_code,stock_name,severity,priority,title,content
da8fe1a8-a92b-4d86-978a-533a7b833c19,2026-06-22T19:36:54,selection,rzq,弱转强,,,info,medium,策略「弱转强」选出 30 只标的,策略「弱转强」选出 30 只标的，Top3：深科技(000021.SZ)、沙河股份(000014.SZ)、深振业Ａ(000006.SZ)
0590523e-ff63-44ab-bdf9-ed7dd785f4cc,2026-06-22T19:37:12,selection,cslx,错杀低吸,,,info,medium,策略「错杀低吸」选出 30 只标的,策略「错杀低吸」选出 30 只标的，Top3：天际股份(002759.SZ)、天银机电(300342.SZ)、瑞玛精密(002976.SZ)
476df639-88a5-4b89-9d45-6e41f6ff77b6,2026-06-22T19:37:12,selection,dbqzt,打板求涨停,,,info,medium,策略「打板求涨停」选出 30 只标的,策略「打板求涨停」选出 30 只标的，Top3：庄园牧场(002910.SZ)、中核科技(000777.SZ)、诺德股份(600110.SH)
05121c82-c17c-4633-8100-88b3b431a030,2026-06-22T19:37:12,selection,qszsl,趋势主升浪,,,info,medium,策略「趋势主升浪」选出 30 只标的,策略「趋势主升浪」选出 30 只标的，Top3：同洲电子(002052.SZ)、华孚时尚(002042.SZ)、骄成超声(688392.SH)
634c91b8-2ee4-4fd4-a11e-6bb5a913e8da,2026-06-22T19:37:13,selection,qzrfc,强转弱反抽,,,info,medium,策略「强转弱反抽」选出 30 只标的,策略「强转弱反抽」选出 30 只标的，Top3：供销大集(000564.SZ)、中国长城(000066.SZ)、德龙汇能(000593.SZ)
f1baf28a-280b-4349-a556-bb41802a04bb,2026-06-22T19:37:13,selection,rzq,弱转强,,,info,medium,策略「弱转强」选出 30 只标的,策略「弱转强」选出 30 只标的，Top3：深科技(000021.SZ)、沙河股份(000014.SZ)、深振业Ａ(000006.SZ)
7de8f2ca-8c05-4c39-b87a-f99402a99ecb,2026-06-22T19:37:22,selection,cslx,错杀低吸,,,info,medium,策略「错杀低吸」选出 30 只标的,策略「错杀低吸」选出 30 只标的，Top3：天际股份(002759.SZ)、天银机电(300342.SZ)、瑞玛精密(002976.SZ)
bfad8762-140e-40ef-a194-7f87259b5049,2026-06-22T19:37:23,selection,dbqzt,打板求涨停,,,info,medium,策略「打板求涨停」选出 30 只标的,策略「打板求涨停」选出 30 只标的，Top3：庄园牧场(002910.SZ)、中核科技(000777.SZ)、诺德股份(600110.SH)
f80d7b72-a036-48b8-a969-c512033127d9,2026-06-22T19:37:23,selection,qszsl,趋势主升浪,,,info,medium,策略「趋势主升浪」选出 30 只标的,策略「趋势主升浪」选出 30 只标的，Top3：同洲电子(002052.SZ)、华孚时尚(002042.SZ)、骄成超声(688392.SH)
b2c7d02e-f93a-4800-91f0-c322fc506fb1,2026-06-22T19:37:23,selection,qzrfc,强转弱反抽,,,info,medium,策略「强转弱反抽」选出 30 只标的,策略「强转弱反抽」选出 30 只标的，Top3：供销大集(000564.SZ)、中国长城(000066.SZ)、德龙汇能(000593.SZ)
ede75171-1ed6-4385-bd42-346b665d6f98,2026-06-22T19:37:24,selection,rzq,弱转强,,,info,medium,策略「弱转强」选出 30 只标的,策略「弱转强」选出 30 只标的，Top3：深科技(000021.SZ)、沙河股份(000014.SZ)、深振业Ａ(000006.SZ)
de0375e2-66e9-490c-9d26-c24f7441d461,2026-06-22T19:37:55,selection,cslx,错杀低吸,,,info,medium,策略「错杀低吸」选出 30 只标的,策略「错杀低吸」选出 30 只标的，Top3：天际股份(002759.SZ)、天银机电(300342.SZ)、瑞玛精密(002976.SZ)
27e5c6e2-8f99-457e-83be-e5156acb643b,2026-06-22T19:37:56,selection,dbqzt,打板求涨停,,,info,medium,策略「打板求涨停」选出 30 只标的,策略「打板求涨停」选出 30 只标的，Top3：庄园牧场(002910.SZ)、中核科技(000777.SZ)、诺德股份(600110.SH)
f5efe612-15ee-466e-8d17-09755361ab3d,2026-06-22T19:37:56,selection,qszsl,趋势主升浪,,,info,medium,策略「趋势主升浪」选出 30 只标的,策略「趋势主升浪」选出 30 只标的，Top3：同洲电子(002052.SZ)、华孚时尚(002042.SZ)、骄成超声(688392.SH)
548d9136-ed83-4f66-8b85-1cb184e6ec52,2026-06-22T19:37:56,selection,qzrfc,强转弱反抽,,,info,medium,策略「强转弱反抽」选出 30 只标的,策略「强转弱反抽」选出 30 只标的，Top3：供销大集(000564.SZ)、中国长城(000066.SZ)、德龙汇能(000593.SZ)
5f87037c-5256-47c2-9c82-73020df03ed1,2026-06-22T19:37:57,selection,rzq,弱转强,,,info,medium,策略「弱转强」选出 30 只标的,策略「弱转强」选出 30 只标的，Top3：深科技(000021.SZ)、沙河股份(000014.SZ)、深振业Ａ(000006.SZ)
